smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
COc1cnc2ccc(=O)n(CCN3CCN(c4nc5cc(C#N)c(C)cc5[nH]4)CC3)c2c1,520.0,32.2,1.54,0.8,6.253828811575473,3.471966452550362,0.4317824164255378,-0.2231435513142097,16744.0,1001.0,16.72727272727273
CC(C)(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](COCc2ccccc2)NC(=O)CN(CCCc2ccc(F)cc2F)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2cscn2)NC1=O,124.0,136.0,4.4,0.95,4.820281565605037,4.912654885736052,1.4816045409242156,-0.0512932943875505,16864.0,574.3157894736843,29.36363636363636
CCCn1c2ccc(NC(=O)OC(C)C)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,1710.0,10.5,2.34,2.84,7.444248649496705,2.3513752571634776,0.85015092936961,1.043804052173115,17955.0,1408.943661971831,12.743589743589745
C[C@H]1[C@@H](c2cccc(C(F)(F)F)c2)OC(=O)N1C(=O)NCc1cncc2ccccc12,180.3471600000001,92.7,6.6,1.7,5.194883660067258,4.529368472571809,1.8870696490323795,0.5306282510621704,16718.18173200001,700.1713270588237,23.87727272727273
CC[C@@H](C)Nc1nc(C)nc2c(-c3ccc(OC)nc3C)c(C)nn12,987.2499000000004,17.9,14.9,13.5,6.894923198875288,2.884800712846709,2.7013612129514133,2.6026896854443837,17671.773210000007,1089.6313711111115,16.218120805369125
COc1cccc(CN(C(=O)c2cc3ccc(-c4cn[nH]c4)nc3[nH]2)C2CC2)c1,852.3746000000003,21.0,1.2,0.9,6.7480261015636875,3.044522437723423,0.1823215567939546,-0.1053605156578262,17899.86660000001,1136.499466666667,15.750000000000002
Cc1ccc2[nH]c(C(=O)N3CCC(CC(C)(C)O)CC3)cc2c1,395.0,42.0,1.7,0.46,5.978885764901122,3.737669618283368,0.5306282510621704,-0.7765287894989963,16590.0,1459.782608695652,11.364705882352942
Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,722.1013760000005,23.0,33.0,18.4,6.582165539008568,3.1354942159291497,3.49650756146648,2.91235066461494,16608.331648000014,1295.073120000001,12.824242424242424
O=C(C[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1)N[C@@H]1CCOc2cc(CN3CCCCC3)ccc21,201.0,84.1,7.427,1.4,5.303304908059076,4.432006566978902,2.0051220086871595,0.3364722366212129,16904.1,1066.305,15.852968897266727
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)Cc2ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc2O3)[nH]1)C(C)C,1055.0,15.83,1.32,1.33,6.961296045910167,2.761906873892921,0.2776317365982795,0.2851789422336624,16700.65,1047.0676691729325,15.949924242424244
Cn1ccc(Nc2ncnc3ccc(Oc4c(F)cccc4S(C)(=O)=O)cc23)n1,2604.634200000001,6.8,0.5,1.3,7.865047522062463,1.916922612182061,-0.6931471805599453,0.262364264467491,17711.512560000006,1001.7823846153848,17.68
