smiles,value,log_value,init_value
CC(C)(c1ncc(-c2ccc(Cl)cc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2cc3ccncc3o2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,0.8,-0.2231435513142097,0.414771842433855
CC(C)(C)C[C@H]1N[C@@H](C(=O)NC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,3.2,1.1631508098056809,0.6221577636507826
C[C@@H](c1ccc(-c2ccc(=O)n(C)c2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,1.1,0.0953101798043249,0.462411667167495
CC(C)Cc1ccc(CCC(=O)N(C)O)cc1,0.3,-1.203972804325936,0.2680424147616348
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,0.3,-1.203972804325936,0.2680424147616348
c1ccc(N2CCN(CCCN3CCN(c4ccccn4)CC3)CC2)nc1,5.2,1.6486586255873816,0.6947884317525903
CCCC[C@H](NC(=O)O[C@H](Cn1ccc(C(F)(F)F)n1)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1,0.4,-0.916290731874155,0.3110788818253913
O=C(O)C1=CCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)CC1,3.0,1.0986122886681098,0.6125029738489391
Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3)nn3c2NC[C@H](O)C3)ccc1=O,9.01,2.1983350716202463,0.7770185549709259
[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,4.2,1.4350845252893227,0.6628383187169946
O=S(=O)(c1cccc(F)c1)c1ccc2c3c(oc2c1)C1(CCCOC1)NCC3,1.4,0.3364722366212129,0.4984888645638235
Cc1ccc(CCCC(=O)c2ccc(COC[C@@](C)(N)COP(=O)(O)O)c(C)c2)cc1,5.7,1.7404661748405046,0.70852259508075
COc1cccc(-c2cc([C@@H]3CCC[C@H]3C(=O)NC3(c4ccccc4)CCC3)no2)c1,1.6,0.4700036292457356,0.5184648030423189
CC(C)(C)c1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O,2.9,1.0647107369924282,0.6074313925728927
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(NCc3ccccc3)OCc3ccc([N+](=O)[O-])cc3)O2)cc1F,24.0,3.1780538303479458,0.9235818556743304
COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,4.5,1.5040773967762742,0.6731594673936465
Cn1c2c(c(=O)n1Cc1ccccc1C(F)(F)F)[C@H]1CC[C@]2(C)C1(C)C,3.0,1.0986122886681098,0.6125029738489391
CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)Nc2ccc(Oc3ccc(NC(=O)N4CC[C@H]5CC[C@@H](C(=O)NC(c6ccccc6)c6ccccc6)N5C(=O)[C@@H](NC(=O)[C@H](C)NC)C4)cc3)cc2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,1.4,0.3364722366212129,0.4984888645638235
COc1cccc(CN(C(=O)C2=C(c3ccc(CCN(C)Cc4c(Cl)ccc(Cl)c4Cl)cc3)CC3CNCC2N3)C2CC2)c1C,7.5,2.0149030205422647,0.749577611719316
Cn1nnc2c(C(N)=O)ncn2c1=O,1.833,0.6059539688575679,0.5388026095074464
C/C(=C\c1ccc(C(=O)Oc2ccc(C(=N)N)cc2)cc1)C(=O)N(CC(=O)O)C1CCCC1,0.7,-0.3566749439387324,0.3947959039553597
CCCC[C@H](CN(O)C=O)C(=O)N1CC2(CC2)C[C@H]1C(=O)Nc1ncc(C)s1,1.14,0.131028262406404,0.4677549966019094
O=C(O)CCNC(=O)c1ccc(CN(c2ccc(C3=CCCCC3)cc2)c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,0.5833,-0.5390536452225451,0.3675125390100274
